index,brand,name,disc_price,act_price,imag_url
0,satyapaul,satya crepe blouse piece saree,5397.0,8995.0,https://m.media-amazon.com/images/I/71kd5x-30VL._AC_UL320_.jpg
1,satyapaul,satya crepe blouse piece saree,5397.0,8995.0,https://m.media-amazon.com/images/I/81i4TVTnMZL._AC_UL320_.jpg
2,satyapaul,satya crepe blouse piece saree,5397.0,8995.0,https://m.media-amazon.com/images/I/71jssuzjyCL._AC_UL320_.jpg
3,satyapaul,satya crepe blouse piece saree,5397.0,8995.0,https://m.media-amazon.com/images/I/811EWsAQohL._AC_UL320_.jpg
4,anni designer,womens banarasi silk printed saree,349.0,2598.0,https://m.media-amazon.com/images/I/91WCQ88UV5L._AC_UL320_.jpg
5,saree mania,womens banarasi kanjivaram silk jacquard saree blouse piece,988.0,2999.0,https://m.media-amazon.com/images/I/81aaDUrREUS._AC_UL320_.jpg
6,tereza,womens saree dola silk materials hot fix stone work weaving design unstitched blouse brocket lace blouse fabric heavy boarder,469.0,2449.0,https://m.media-amazon.com/images/I/91UdXgFeHLL._AC_UL320_.jpg
7,anni designer,womens zoya silk printed saree,349.0,2599.0,https://m.media-amazon.com/images/I/913VtoIq8DL._AC_UL320_.jpg
8,yashika,womens art silk saree blouse piece,269.0,1047.0,https://m.media-amazon.com/images/I/91GKFgnS5uL._AC_UL320_.jpg
9,flosive,womens half design cotton kanchipuram cotton embroidery work replica casual beautiful saree blouse material sadi offer marriage,479.0,800.0,https://m.media-amazon.com/images/I/511CLqMrkIL._AC_UL320_.jpg
10,yashika,women sana silk saree,399.0,2599.0,https://m.media-amazon.com/images/I/612LYRvZlbL._AC_UL320_.jpg
11,dhruvi trendz,soft cotton silk saree women banarasi saree beautiful women saree,275.0,1999.0,https://m.media-amazon.com/images/I/810bWMiAmaL._AC_UL320_.jpg
12,anni designer,womens chanderi silk jacquard butta saree blouse piece,399.0,3899.0,https://m.media-amazon.com/images/I/91Ggz+E6uNL._AC_UL320_.jpg
13,perfectblue,womens digital cotton linen blend saree unstitched blouse piece,449.0,1999.0,https://m.media-amazon.com/images/I/81Y+je7CEgL._AC_UL320_.jpg
14,satrani,womens georgette floral printed saree blouse piece,299.0,1025.0,https://m.media-amazon.com/images/I/71v25XUM21L._AC_UL320_.jpg
15,yashika,womens woven linen saree blouse piece,349.0,1677.0,https://m.media-amazon.com/images/I/91dDMDg+QTL._AC_UL320_.jpg
16,sgf11,sgf women kanjivaram soft silk saree blouse piece,988.0,6999.0,https://m.media-amazon.com/images/I/712fU35Wo3L._AC_UL320_.jpg
17,runaya nx,vimalnath synthetics printed art silk saree,188.0,1299.0,https://m.media-amazon.com/images/I/71Jn-8l7C5L._AC_UL320_.jpg
18,anni designer,womens chiffon embellished saree blouse piece,349.0,2999.0,https://m.media-amazon.com/images/I/81kHhejKHaL._AC_UL320_.jpg
19,laves,women cotton silk saree blouse piece,294.0,900.0,https://m.media-amazon.com/images/I/51NvZsMuAOL._AC_UL320_.jpg
